
无鉴权插件安装==》 &{[0x10193fdf0 0x101940b00] / 0x1400058a340 false}
鉴权插件安装==》 &{[0x10193fdf0 0x101940b00] / 0x1400058a340 false}
[GIN-debug] POST   /email/emailTest          --> github.com/flipped-aurora/gin-vue-admin/server/plugin/email/api.(*EmailApi).EmailTest-fm (6 handlers)
[GIN-debug] POST   /email/sendEmail          --> github.com/flipped-aurora/gin-vue-admin/server/plugin/email/api.(*EmailApi).SendEmail-fm (6 handlers)
[GIN-debug] GET    /uploads/file/*filepath   --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /uploads/file/*filepath   --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (3 handlers)
[github.com/flipped-aurora/gin-vue-admin/server]2023/03/12 - 04:18:02.323	info	/pine/gvmserve/initialize/router.go:39	register swagger handler
[GIN-debug] GET    /health                   --> github.com/flipped-aurora/gin-vue-admin/server/initialize.Routers.func1 (3 handlers)
[GIN-debug] POST   /base/login               --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*BaseApi).Login-fm (3 handlers)
[GIN-debug] POST   /base/captcha             --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*BaseApi).Captcha-fm (3 handlers)
[GIN-debug] POST   /init/initdb              --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*DBApi).InitDB-fm (3 handlers)
[GIN-debug] POST   /init/checkdb             --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*DBApi).CheckDB-fm (3 handlers)
[GIN-debug] POST   /api/createApi            --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*SystemApiApi).CreateApi-fm (6 handlers)
[GIN-debug] POST   /api/deleteApi            --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*SystemApiApi).DeleteApi-fm (6 handlers)
[GIN-debug] POST   /api/getApiById           --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*SystemApiApi).GetApiById-fm (6 handlers)
[GIN-debug] POST   /api/updateApi            --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*SystemApiApi).UpdateApi-fm (6 handlers)
[GIN-debug] DELETE /api/deleteApisByIds      --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*SystemApiApi).DeleteApisByIds-fm (6 handlers)
[GIN-debug] POST   /api/getAllApis           --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*SystemApiApi).GetAllApis-fm (5 handlers)
[GIN-debug] POST   /api/getApiList           --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*SystemApiApi).GetApiList-fm (5 handlers)
[GIN-debug] POST   /jwt/jsonInBlacklist      --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*JwtApi).JsonInBlacklist-fm (5 handlers)
[GIN-debug] POST   /user/admin_register      --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*BaseApi).Register-fm (6 handlers)
[GIN-debug] POST   /user/changePassword      --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*BaseApi).ChangePassword-fm (6 handlers)
[GIN-debug] POST   /user/setUserAuthority    --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*BaseApi).SetUserAuthority-fm (6 handlers)
[GIN-debug] DELETE /user/deleteUser          --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*BaseApi).DeleteUser-fm (6 handlers)
[GIN-debug] PUT    /user/setUserInfo         --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*BaseApi).SetUserInfo-fm (6 handlers)
[GIN-debug] PUT    /user/setSelfInfo         --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*BaseApi).SetSelfInfo-fm (6 handlers)
[GIN-debug] POST   /user/setUserAuthorities  --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*BaseApi).SetUserAuthorities-fm (6 handlers)
[GIN-debug] POST   /user/resetPassword       --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*BaseApi).ResetPassword-fm (6 handlers)
[GIN-debug] POST   /user/getUserList         --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*BaseApi).GetUserList-fm (5 handlers)
[GIN-debug] GET    /user/getUserInfo         --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*BaseApi).GetUserInfo-fm (5 handlers)
[GIN-debug] POST   /menu/addBaseMenu         --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AuthorityMenuApi).AddBaseMenu-fm (6 handlers)
[GIN-debug] POST   /menu/addMenuAuthority    --> github.com/flipped-aurora/gin-vue-admin/server/api/v1/system.(*AuthorityMenuApi).AddMenuAuthority-fm (6 handlers)
